step,local,wip,remote,cumulative
1,0,5,0,0
2,0,10,0,0
3,10,4,0,0
4,10,9,0,0
5,20,3,0,0
6,20,8,0,0
7,0,1,30,30
8,0,6,30,60
9,10,0,30,90
10,10,5,30,120
11,10,10,30,150
12,20,4,30,180
13,20,9,30,210
14,0,1,60,270
15,0,6,60,330
16,10,0,60,390
17,10,5,60,450
18,10,10,60,510
19,20,4,60,570
20,20,9,60,630
21,0,1,90,720
22,0,6,90,810
23,10,0,90,900
24,10,5,90,990
25,10,10,90,1080
26,20,4,90,1170
27,20,9,90,1260
28,0,1,120,1380
29,0,6,120,1500
30,10,0,120,1620
31,10,5,120,1740
32,10,10,120,1860
33,20,4,120,1980
34,20,9,120,2100
35,0,1,150,2250
36,0,6,150,2400
37,10,0,150,2550
38,10,5,150,2700
39,10,10,150,2850
40,20,4,150,3000
41,20,9,150,3150
42,0,1,180,3330
43,0,6,180,3510
44,10,0,180,3690
45,10,5,180,3870
46,10,10,180,4050
47,20,4,180,4230
48,20,9,180,4410
49,0,1,210,4620
50,0,6,210,4830
51,10,0,210,5040
52,10,5,210,5250
53,10,10,210,5460
54,20,4,210,5670
55,20,9,210,5880
56,0,1,240,6120
57,0,6,240,6360
58,10,0,240,6600
59,10,5,240,6840
60,10,10,240,7080
61,20,4,240,7320
62,20,9,240,7560
63,0,1,270,7830
64,0,6,270,8100
65,10,0,270,8370
66,10,5,270,8640
67,10,10,270,8910
68,20,4,270,9180
69,20,9,270,9450
70,0,1,300,9750
71,0,6,300,10050
72,10,0,300,10350
73,10,5,300,10650
74,10,10,300,10950
75,20,4,300,11250
76,20,9,300,11550
77,0,1,330,11880
78,0,6,330,12210
79,10,0,330,12540
80,10,5,330,12870
81,10,10,330,13200
82,20,4,330,13530
83,20,9,330,13860
84,0,1,360,14220
85,0,6,360,14580
86,10,0,360,14940
87,10,5,360,15300
88,10,10,360,15660
89,20,4,360,16020
90,20,9,360,16380
91,0,1,390,16770
92,0,6,390,17160
93,10,0,390,17550
94,10,5,390,17940
95,10,10,390,18330
96,20,4,390,18720
97,20,9,390,19110
98,0,1,420,19530
99,0,6,420,19950
100,10,0,420,20370
