step,local,wip,remote
1,3,1,0
1,3,1,0
1,3,1,0
1,3,1,0
1,3,1,0
2,6,2,0
2,6,2,0
2,6,2,0
2,6,2,0
2,6,2,0
3,9,3,0
3,9,3,0
3,9,3,0
3,9,3,0
3,9,3,0
4,12,0,48
4,12,0,48
4,12,0,48
4,12,0,48
4,12,0,48
5,3,0,60
5,3,0,60
5,3,0,60
5,3,0,60
5,3,0,60
6,6,1,60
6,6,1,60
6,6,1,60
6,6,1,60
6,6,1,60
7,9,2,60
7,9,2,60
7,9,2,60
7,9,2,60
7,9,2,60
8,12,0,96
8,12,0,96
8,12,0,96
8,12,0,96
8,12,0,96
9,0,2,120
9,0,2,120
9,0,2,120
9,0,2,120
9,0,2,120
10,3,3,120
10,3,3,120
10,3,3,120
10,3,3,120
10,3,3,120
11,9,0,120
11,9,0,120
11,9,0,120
11,9,0,120
11,9,0,120
12,12,0,144
12,12,0,144
12,12,0,144
12,12,0,144
12,12,0,144
13,0,1,180
13,0,1,180
13,0,1,180
13,0,1,180
13,0,1,180
14,3,2,180
14,3,2,180
14,3,2,180
14,3,2,180
14,3,2,180
15,6,3,180
15,6,3,180
15,6,3,180
15,6,3,180
15,6,3,180
16,12,0,192
16,12,0,192
16,12,0,192
16,12,0,192
16,12,0,192
17,0,1,228
17,0,1,228
17,0,1,228
17,0,1,228
17,0,1,228
18,3,2,240
18,3,2,240
18,3,2,240
18,3,2,240
18,3,2,240
19,6,3,240
19,6,3,240
19,6,3,240
19,6,3,240
19,6,3,240
20,12,0,240
20,12,0,240
20,12,0,240
20,12,0,240
20,12,0,240
21,0,0,288
21,0,0,288
21,0,0,288
21,0,0,288
21,0,0,288
22,3,1,300
22,3,1,300
22,3,1,300
22,3,1,300
22,3,1,300
23,6,2,300
23,6,2,300
23,6,2,300
23,6,2,300
23,6,2,300
24,9,3,300
24,9,3,300
24,9,3,300
24,9,3,300
24,9,3,300
25,12,0,336
25,12,0,336
25,12,0,336
25,12,0,336
25,12,0,336
26,0,3,360
26,0,3,360
26,0,3,360
26,0,3,360
26,0,3,360
27,6,0,360
27,6,0,360
27,6,0,360
27,6,0,360
27,6,0,360
28,9,1,360
28,9,1,360
28,9,1,360
28,9,1,360
28,9,1,360
29,12,0,384
29,12,0,384
29,12,0,384
29,12,0,384
29,12,0,384
30,0,1,408
30,0,1,408
30,0,1,408
30,0,1,408
30,0,1,408
31,3,2,420
31,3,2,420
31,3,2,420
31,3,2,420
31,3,2,420
32,6,3,420
32,6,3,420
32,6,3,420
32,6,3,420
32,6,3,420
33,12,0,432
33,12,0,432
33,12,0,432
33,12,0,432
33,12,0,432
34,0,0,468
34,0,0,468
34,0,0,468
34,0,0,468
34,0,0,468
35,3,1,480
35,3,1,480
35,3,1,480
35,3,1,480
35,3,1,480
36,6,2,480
36,6,2,480
36,6,2,480
36,6,2,480
36,6,2,480
37,9,3,492
37,9,3,492
37,9,3,492
37,9,3,492
37,9,3,492
38,0,0,516
38,0,0,516
38,0,0,516
38,0,0,516
38,0,0,516
39,3,1,540
39,3,1,540
39,3,1,540
39,3,1,540
39,3,1,540
40,6,2,540
40,6,2,540
40,6,2,540
40,6,2,540
40,6,2,540
41,9,3,540
41,9,3,540
41,9,3,540
41,9,3,540
41,9,3,540
42,12,0,564
42,12,0,564
42,12,0,564
42,12,0,564
42,12,0,564
43,0,1,600
43,0,1,600
43,0,1,600
43,0,1,600
43,0,1,600
44,3,2,600
44,3,2,600
44,3,2,600
44,3,2,600
44,3,2,600
45,6,3,600
45,6,3,600
45,6,3,600
45,6,3,600
45,6,3,600
46,12,0,612
46,12,0,612
46,12,0,612
46,12,0,612
46,12,0,612
47,0,1,648
47,0,1,648
47,0,1,648
