threeten,tentwentyfive,twentyfivefifty
0,0,0
0,0,0
0,0,0
12,0,0
24,0,0
36,0,0
60,30,0
84,60,0
108,90,0
132,120,0
168,150,50
204,180,100
240,210,150
276,270,200
324,330,250
372,390,300
420,450,350
480,510,400
540,570,450
600,630,500
660,720,550
732,810,650
804,900,750
876,990,850
960,1080,950
1044,1170,1050
1128,1260,1150
1212,1380,1250
1308,1500,1350
1404,1620,1450
1500,1740,1550
1596,1860,1650
1704,1980,1800
1812,2100,1950
1920,2250,2100
2040,2400,2250
2160,2550,2400
2280,2700,2550
2400,2850,2700
2532,3000,2850
2664,3150,3000
2796,3330,3150
2940,3510,3350
3084,3690,3550
3228,3870,3750
3372,4050,3950
3528,4230,4150
3684,4410,4350
3840,4620,4550
3996,4830,4750
4164,5040,4950
4332,5250,5150
4500,5460,5350
4680,5670,5600
4860,5880,5850
5040,6120,6100
5220,6360,6350
5412,6600,6600
5604,6840,6850
5796,7080,7100
6000,7320,7350
6204,7560,7600
6408,7830,7850
6612,8100,8100
6828,8370,8400
7044,8640,8700
7260,8910,9000
7476,9180,9300
7704,9450,9600
7932,9750,9900
8160,10050,10200
8400,10350,10500
8640,10650,10800
8880,10950,11100
9120,11250,11400
9372,11550,11750
9624,11880,12100
9876,12210,12450
10140,12540,12800
10404,12870,13150
10668,13200,13500
10932,13530,13850
11208,13860,14200
11484,14220,14550
11760,14580,14900
12036,14940,15250
12324,15300,15650
12612,15660,16050
12900,16020,16450
13200,16380,16850
13500,16770,17250
13800,17160,17650
14100,17550,18050
14412,17940,18450
14724,18330,18850
15036,18720,19250
15360,19110,19700
15684,19530,20150
16008,19950,20600
16332,20370,21050
