step,three,ten,twentyfive
1,0,0,0
2,0,0,0
3,0,0,0
4,12,0,0
5,24,0,0
6,36,0,0
7,60,30,0
8,84,60,0
9,108,90,0
10,132,120,0
11,168,150,50
12,204,180,100
13,240,210,150
14,276,270,200
15,324,330,250
16,372,390,300
17,420,450,350
18,480,510,400
19,540,570,450
20,600,630,500
21,660,720,550
22,732,810,650
23,804,900,750
24,876,990,850
25,960,1080,950
26,1044,1170,1050
27,1128,1260,1150
28,1212,1380,1250
29,1308,1500,1350
30,1404,1620,1450
31,1500,1740,1550
32,1596,1860,1650
33,1704,1980,1800
34,1812,2100,1950
35,1920,2250,2100
36,2040,2400,2250
37,2160,2550,2400
38,2280,2700,2550
39,2400,2850,2700
40,2532,3000,2850
41,2664,3150,3000
42,2796,3330,3150
43,2940,3510,3350
44,3084,3690,3550
45,3228,3870,3750
46,3372,4050,3950
47,3528,4230,4150
48,3684,4410,4350
49,3840,4620,4550
50,3996,4830,4750
51,4164,5040,4950
52,4332,5250,5150
53,4500,5460,5350
54,4680,5670,5600
55,4860,5880,5850
56,5040,6120,6100
57,5220,6360,6350
58,5412,6600,6600
59,5604,6840,6850
60,5796,7080,7100
61,6000,7320,7350
62,6204,7560,7600
63,6408,7830,7850
64,6612,8100,8100
65,6828,8370,8400
66,7044,8640,8700
67,7260,8910,9000
68,7476,9180,9300
69,7704,9450,9600
70,7932,9750,9900
71,8160,10050,10200
72,8400,10350,10500
73,8640,10650,10800
74,8880,10950,11100
75,9120,11250,11400
76,9372,11550,11750
77,9624,11880,12100
78,9876,12210,12450
79,10140,12540,12800
80,10404,12870,13150
81,10668,13200,13500
82,10932,13530,13850
83,11208,13860,14200
84,11484,14220,14550
85,11760,14580,14900
86,12036,14940,15250
87,12324,15300,15650
88,12612,15660,16050
89,12900,16020,16450
90,13200,16380,16850
91,13500,16770,17250
92,13800,17160,17650
93,14100,17550,18050
94,14412,17940,18450
95,14724,18330,18850
96,15036,18720,19250
97,15360,19110,19700
98,15684,19530,20150
99,16008,19950,20600
100,16332,20370,21050
