step,local,wip,remote
1,0,5,0
2,0,10,0
3,0,15,0
4,0,20,0
5,0,25,0
6,25,4,0
7,25,9,0
8,25,14,0
9,25,19,0
10,25,24,0
11,0,2,50
12,0,7,50
13,0,12,50
14,0,17,50
15,0,22,50
16,25,1,50
17,25,6,50
18,25,11,50
19,25,16,50
20,25,21,50
21,50,0,50
22,0,3,100
23,0,8,100
24,0,13,100
25,0,18,100
26,0,23,100
27,25,2,100
28,25,7,100
29,25,12,100
30,25,17,100
31,25,22,100
32,50,0,100
33,0,4,150
34,0,9,150
35,0,14,150
36,0,19,150
37,0,24,150
38,25,3,150
39,25,8,150
40,25,13,150
41,25,18,150
42,25,23,150
43,0,0,200
44,0,5,200
45,0,10,200
46,0,15,200
47,0,20,200
48,0,25,200
49,25,4,200
50,25,9,200
51,25,14,200
52,25,19,200
53,25,24,200
54,0,1,250
55,0,6,250
56,0,11,250
57,0,16,250
58,0,21,250
59,25,0,250
60,25,5,250
61,25,10,250
62,25,15,250
63,25,20,250
64,25,25,250
65,0,2,300
66,0,7,300
67,0,12,300
68,0,17,300
69,0,22,300
70,25,1,300
71,25,6,300
72,25,11,300
73,25,16,300
74,25,21,300
75,50,0,300
76,0,3,350
77,0,8,350
78,0,13,350
79,0,18,350
80,0,23,350
81,25,2,350
82,25,7,350
83,25,12,350
84,25,17,350
85,25,22,350
86,50,0,350
87,0,4,400
88,0,9,400
89,0,14,400
90,0,19,400
91,0,24,400
92,25,3,400
93,25,8,400
94,25,13,400
95,25,18,400
96,25,23,400
97,0,0,450
98,0,5,450
99,0,10,450
100,0,15,450
